MaturityYears,ZeroSpotRate
6.799999999999999,6.924073447520257
6.8999999999999995,6.935600481864853
6.999999999999999,6.946916797024436
7.099999999999999,6.9580275740257385
7.199999999999999,6.968937861404701
7.299999999999999,6.979652578527961
7.3999999999999995,6.990176518832701
7.499999999999999,7.000514352986778
7.599999999999999,7.010670631971125
7.699999999999999,7.020649790086282
7.799999999999999,7.030456147884901
7.899999999999999,7.040093915032029
7.999999999999999,7.049567193094936
8.1,7.058879978264165
8.2,7.068036164007506
8.299999999999999,7.077039543658529
8.399999999999999,7.085893812941235
8.499999999999998,7.094602572432409
8.6,7.10316932996318
8.7,7.111597502961262
8.799999999999999,7.119890420735329
8.899999999999999,7.1280513267029315
8.999999999999998,7.136083380563319
9.1,7.143989660416522
9.2,7.151773164830007
9.299999999999999,7.159436814854155
9.399999999999999,7.1669834559878485
9.499999999999998,7.1744158600953565
9.6,7.181736727275711
9.7,7.188948687685735
9.799999999999999,7.196054303317873
9.899999999999999,7.203056069733874
9.999999999999998,7.20995641775547
10.1,7.216757715113052
10.2,7.22346226805339
10.299999999999999,7.230072322907393
10.399999999999999,7.236590067618893
10.499999999999998,7.24301763323538
10.6,7.249357095361665
10.7,7.25561047557732
10.799999999999999,7.261779742818835
10.899999999999999,7.267866814727318
10.999999999999998,7.273873558962595
11.099999999999998,7.279801794484538
11.2,7.285653292802414
11.299999999999999,7.29142977919304
11.399999999999999,7.29713293388852
11.499999999999998,7.302764393234283
11.599999999999998,7.308325750818189
11.7,7.313818558571372
11.799999999999999,7.319244327841542
11.899999999999999,7.324604530439411
11.999999999999998,7.329900599658908
12.099999999999998,7.335133931271804
12.2,7.3403058844974245
12.299999999999999,7.3454177829480045
12.399999999999999,7.350470915550327
12.499999999999998,7.355466537444205
12.599999999999998,7.360405870858391
12.7,7.365290105964451
12.799999999999999,7.37012040170918
12.899999999999999,7.374897886626029
12.999999999999998,7.379623659626132
13.099999999999998,7.3842987907693765
13.2,7.388924322016038
13.299999999999999,7.393501267959457
13.399999999999999,7.398030616540209
13.499999999999998,7.402513329742255
13.599999999999998,7.406950344271469
13.7,7.411342572217046
13.799999999999999,7.415690901696133
13.899999999999999,7.419996197482171
13.999999999999998,7.4242593016172975
14.099999999999998,7.428481034009235
14.2,7.432662193013039
14.299999999999999,7.436803555998068
14.399999999999999,7.440905879900572
14.499999999999998,7.444969901762215
14.599999999999998,7.4489963392549186
14.7,7.452985891192347
14.799999999999999,7.456939238028354
14.899999999999999,7.46085704234274
14.999999999999998,7.46473994931462
15.099999999999998,7.468588587183705
15.199999999999998,7.47240356769981
15.299999999999999,7.476185486560875
15.399999999999999,7.4799349238397825
15.499999999999998,7.483652444400245
15.599999999999998,7.487338598302062
